Name,Award,Gender,award year,award age,Birth Country,Birth Continent,award country,award continent
Nelson Mandela,Peace,M,1993,76,South Africa,Africa,South Africa,Africa
Frederik Willem de Klerk,Peace,M,1993,58,South Africa,Africa,South Africa,Africa
Toni Morrison,Literature,F,1993,63,USA,North America,USA,North America
Richard J. Roberts,Physiology or Medicine,M,1993,51,United Kingdom,Europe,USA,North America
Phillip A. Sharp,Physiology or Medicine,M,1993,50,USA,North America,USA,North America
Michael Smith,Chemistry,M,1993,62,United Kingdom,Europe,Canada,North America
Kary B. Mullis,Chemistry,M,1993,50,USA,North America,USA,North America
Russell A. Hulse,Physics,M,1993,44,USA,North America,USA,North America
Joseph H. Taylor Jr.,Physics,M,1993,53,USA,North America,USA,North America
John C. Harsanyi,Economic,M,1994,75,Hungary,Europe,USA,North America
John F. Nash Jr.,Economic,M,1994,67,USA,North America,USA,North America
Reinhard Selten,Economic,M,1994,65,Poland,Europe,Germany,Europe
Yasser Arafat,Peace,M,1994,66,Egypt,Africa,Palestine,Asia
Shimon Peres,Peace,M,1994,71,Belarus,Europe,Israel,Asia
Yitzhak Rabin,Peace,M,1994,73,Israel,Asia,Israel,Asia
Kenzaburo Oe,Literature,M,1994,60,Japan,Asia,Japan,Asia
Alfred G. Gilman,Physiology or Medicine,M,1994,54,USA,North America,USA,North America
Martin Rodbell,Physiology or Medicine,M,1994,70,USA,North America,USA,North America
George A. Olah,Chemistry,M,1994,68,Hungary,Europe,USA,North America
Clifford G. Shull,Physics,M,1994,80,USA,North America,USA,North America
Bertram N. Brockhouse,Physics,M,1994,77,Canada,North America,Canada,North America
Robert E. Lucas Jr.,Economic,M,1995,59,USA,North America,USA,North America
Joseph Rotblat,Peace,M,1995,88,Poland,Europe,United Kingdom,Europe
Pugwash Conferences on Science and World Affairs,Peace,Org,1995,39,Canada,North America,Canada,North America
Seamus Heaney,Literature,M,1995,57,Northern Ireland,Europe,Ireland,Europe
Edward B. Lewis,Physiology or Medicine,M,1995,78,USA,North America,USA,North America
Christiane Naze in Physiol,Physiology or Medicine,M,1995,54,Germany,Europe,Germany,Europe
Eric F. Wieschaus,Physiology or Medicine,M,1995,49,USA,North America,USA,North America
Paul J. Crutzen,Chemistry,M,1995,63,Netherlands,Europe,Germany,Europe
Mario J. Molina,Chemistry,M,1995,53,Mexico,South America,USA,North America
F. Sherwood Rowland,Chemistry,M,1995,69,USA,North America,USA,North America
Frederick Reines,Physics,M,1995,78,USA,North America,USA,North America
Martin L. Perl,Physics,M,1995,69,USA,North America,USA,North America
James A. Mirrlees,Economic,M,1996,61,United Kingdom,Europe,United Kingdom,Europe
William Vickrey,Economic,M,1996,83,Canada,North America,USA,North America
Carlos Filipe Ximenes Belo,Peace,M,1996,49,East Timor,Asia,East Timor,Asia
Josa TimorPeace ,Peace,M,1996,48,East Timor,Asia,East Timor,Asia
Wislawa Szymborska,Literature,F,1996,74,Poland,Europe,Poland,Europe
Peter C. Doherty,Physiology or Medicine,M,1996,57,Australia,Oceanian,USA,North America
Rolf M. Zinkernagel,Physiology or Medicine,M,1996,53,Switzerland,Europe,Switzerland,Europe
Robert F. Curl Jr.,Chemistry,M,1996,64,USA,North America,USA,North America
Sir Harold W. Kroto,Chemistry,M,1996,58,United Kingdom,Europe,United Kingdom,Europe
Richard E. Smalley,Chemistry,M,1996,54,USA,North America,USA,North America
David M. Lee,Physics,M,1996,66,USA,North America,USA,North America
Douglas D. Osheroff,Physics,M,1996,52,USA,North America,USA,North America
Robert C. Richardson,Physics,M,1996,60,USA,North America,USA,North America
Robert C. Merton,Economic,M,1997,54,USA,North America,USA,North America
Myron S. Scholes,Economic,M,1997,57,Canada,North America,USA,North America
International Campaign to Ban Landmines,Peace,Org,1997,6,USA,North America,USA,North America
Jody Williams,Peace,F,1997,48,USA,North America,USA,North America
Dario Fo,Literature,M,1997,72,Italy,Europe,Italy,Europe
Stanley B. Prusiner,Physiology or Medicine,M,1997,56,USA,North America,USA,North America
Jens C. Skou,Chemistry,M,1997,80,Denmark,Europe,Denmark,Europe
Paul D. Boyer,Chemistry,M,1997,80,USA,North America,USA,North America
John E. Walker,Chemistry,M,1997,57,United Kingdom,Europe,United Kingdom,Europe
Steven Chu,Physics,M,1997,47,USA,North America,USA,North America
Claude Cohen-Tannoudji,Physics,M,1997,65,Algeria,Africa,France,Europe
William D. Phillips,Physics,M,1997,50,USA,North America,USA,North America
Amartya Sen,Economic,M,1998,66,India,Asia,United Kingdom,Europe
John Hume,Peace,M,1998,62,Northern Ireland,Europe,United Kingdom,Europe
David Trimble,Peace,M,1998,55,Northern Ireland,Europe,United Kingdom,Europe
Josope Kingdo,Literature,M,1998,77,Portugal,Europe,Portugal,Europe
Robert F. Furchgott,Physiology or Medicine,M,1998,83,USA,North America,USA,North America
Louis J. Ignarro,Physiology or Medicine,M,1998,58,USA,North America,USA,North America
Ferid Murad,Physiology or Medicine,M,1998,63,USA,North America,USA,North America
John A. Pople,Chemistry,M,1998,74,United Kingdom,Europe,USA,North America
Walter Kohn,Chemistry,M,1998,76,Austria,Europe,USA,North America
Robert B. Laughlin,Physics,M,1998,49,USA,North America,USA,North America
Horst L. Stcaze ,Physics,M,1998,50,Germany,Europe,USA,North America
Daniel C. Tsui,Physics,M,1998,60,China,Asia,USA,North America
Robert A. Mundell,Economic,M,1999,68,Canada,North America,USA,North America
Morth AmericaRiksbank Pr,Peace,Org,1999,29,France,Europe,Switzerland,Europe
Guroperlande,Literature,M,1999,73,Poland,Europe,Germany,Europe
Guropeyel Pri,Physiology or Medicine,M,1999,64,Poland,Europe,USA,North America
Ahmed H. Zewail,Chemistry,M,1999,54,Egypt,Africa,USA,North America
Gerardus ricaze i,Physics,M,1999,54,Netherlands,Europe,Netherlands,Europe
Martinus J.G. Veltman,Physics,M,1999,69,Netherlands,Europe,USA,North America
Daniel L. McFadden,Economic,M,2000,64,USA,North America,USA,North America
James J. Heckman,Economic,M,2000,57,USA,North America,USA,North America
Kim Dae-jung,Peace,M,2000,76,South Korea,Asia,South Korea,Asia
Gao Xingjian,Literature,M,2000,61,China,Asia,France,Europe
Arvid Carlsson,Physiology or Medicine,M,2000,78,Sweden,Europe,Sweden,Europe
Paul Greengard,Physiology or Medicine,M,2000,76,USA,North America,USA,North America
Eric R. Kandel,Physiology or Medicine,M,2000,72,Austria,Europe,USA,North America
Alan J. Heeger,Chemistry,M,2000,65,USA,North America,USA,North America
Alan G. MacDiarmid,Chemistry,M,2000,74,New Zealand,Oceanian,USA,North America
Hideki Shirakawa,Chemistry,M,2000,65,Japan,Asia,Japan,Asia
Zhores I. Alferov,Physics,M,2000,71,Belarus,Europe,Russia,Europe
Herbert Kroemer,Physics,M,2000,73,Germany,Europe,USA,North America
Jack S. Kilby,Physics,M,2000,78,USA,North America,USA,North America
George A. Akerlof,Economic,M,2001,63,USA,North America,USA,North America
A. Michael Spence,Economic,M,2001,60,USA,North America,USA,North America
Joseph E. Stiglitz,Economic,M,2001,59,USA,North America,USA,North America
United Nations,Peace,Org,2001,57,USA,North America,USA,North America
Kofi Annan,Peace,M,2001,64,Ghana,Africa,Ghana,Africa
Sir Vidiadhar Surajprasad Naipaul,Literature,M,2001,70,Trinidad and Tobago,South America,United Kingdom,Europe
Leland H. Hartwell,Physiology or Medicine,M,2001,63,USA,North America,USA,North America
Tim Hunt,Physiology or Medicine,M,2001,59,United Kingdom,Europe,United Kingdom,Europe
Sir Paul M. Nurse,Physiology or Medicine,M,2001,53,United Kingdom,Europe,United Kingdom,Europe
K. Barry Sharpless,Chemistry,M,2001,61,USA,North America,USA,North America
William S. Knowles,Chemistry,M,2001,85,USA,North America,USA,North America
Ryoji Noyori,Chemistry,M,2001,64,Japan,Asia,Japan,Asia
Eric A. Cornell,Physics,M,2001,41,USA,North America,USA,North America
Wolfgang Ketterle,Physics,M,2001,45,Germany,Europe,USA,North America
Carl E. Wieman,Physics,M,2001,51,USA,North America,USA,North America
Vernon L. Smith,Economic,M,2002,76,USA,North America,USA,North America
Daniel Kahneman,Economic,M,2002,69,Israel,Asia,USA,North America
Jimmy Carter,Peace,M,2002,79,USA,North America,USA,North America
Imre Kertric,Literature,M,2002,74,Hungary,Europe,Hungary,Europe
Sydney Brenner,Physiology or Medicine,M,2002,76,South Africa,Africa,USA,North America
H. Robert Horvitz,Physiology or Medicine,M,2002,56,USA,North America,USA,North America
John E. Sulston,Physiology or Medicine,M,2002,61,United Kingdom,Europe,United Kingdom,Europe
Kurt W Kingdo,Chemistry,M,2002,65,Switzerland,Europe,USA,North America
John B. Fenn,Chemistry,M,2002,86,USA,North America,USA,North America
Koichi Tanaka,Chemistry,M,2002,43,Japan,Asia,Japan,Asia
Riccardo Giacconi,Physics,M,2002,72,Italy,Europe,USA,North America
Raymond Davis Jr.,Physics,M,2002,89,USA,North America,USA,North America
Masatoshi Koshiba,Physics,M,2002,77,Japan,Asia,Japan,Asia
Clive W.J. Granger,Economic,M,2003,70,United Kingdom,Europe,USA,North America
Robert F. Engle III,Economic,M,2003,62,USA,North America,USA,North America
Shirin Ebadi,Peace,F,2003,57,Iran,Asia,Iran,Asia
John M. Coetzee,Literature,M,2003,64,South Africa,Africa,South Africa,Africa
Paul C. Lauterbur,Physiology or Medicine,M,2003,75,USA,North America,USA,North America
Sir Peter Mansfield,Physiology or Medicine,M,2003,71,United Kingdom,Europe,United Kingdom,Europe
Roderick MacKinnon,Chemistry,M,2003,48,USA,North America,USA,North America
Peter Agre,Chemistry,M,2003,55,USA,North America,USA,North America
Alexei A. Abrikosov,Physics,M,2003,76,Russia,Europe,USA,North America
Vitaly L. Ginzburg,Physics,M,2003,88,Russia,Europe,Russia,Europe
Anthony J. Leggett,Physics,M,2003,66,United Kingdom,Europe,USA,North America
Finn E. Kydland,Economic,M,2004,62,Norway,Europe,USA,North America
Edward C. Prescott,Economic,M,2004,65,USA,North America,USA,North America
Wangari Muta Maathai,Peace,F,2004,65,Kenya,Africa,Kenya,Africa
Elfriede Jelinek,Literature,F,2004,59,Austria,Europe,Austria,Europe
Richard Axel,Physiology or Medicine,M,2004,59,USA,North America,USA,North America
Linda B. Buck,Physiology or Medicine,F,2004,58,USA,North America,USA,North America
Aaron Ciechanover,Chemistry,M,2004,58,Israel,Asia,Israel,Asia
Avram Hershko,Chemistry,M,2004,68,Hungary,Europe,Israel,Asia
Irwin Rose,Chemistry,M,2004,79,USA,North America,USA,North America
David J. Gross,Physics,M,2004,64,USA,North America,USA,North America
H. David Politzer,Physics,M,2004,56,USA,North America,USA,North America
Frank Wilczek,Physics,M,2004,54,USA,North America,USA,North America
Robert J. Aumann,Economic,M,2005,76,Germany,Europe,Israel,Asia
Thomas C. Schelling,Economic,M,2005,85,USA,North America,USA,North America
International Atomic Energy Agency,Peace,Org,2005,49,Austria,Europe,Austria,Europe
Mohamed ElBaradei,Peace,M,2005,64,Egypt,Africa,Egypt,Africa
Harold Pinter,Literature,M,2005,76,United Kingdom,Europe,United Kingdom,Europe
Barry J. Marshall,Physiology or Medicine,M,2005,55,Australia,Oceanian,Australia,Oceanian
J. Robin Warren,Physiology or Medicine,M,2005,69,Australia,Oceanian,Australia,Oceanian
Yves Chauvin,Chemistry,M,2005,76,Belgium,Europe,France,Europe
Robert H. Grubbs,Chemistry,M,2005,64,USA,North America,USA,North America
Richard R. Schrock,Chemistry,M,2005,61,USA,North America,USA,North America
John L. Hall,Physics,M,2005,72,USA,North America,USA,North America
Theodor W. Haze i,Physics,M,2005,65,Germany,Europe,Germany,Europe
Roy J. Glauber,Physics,M,2005,81,USA,North America,USA,North America
Edmund S. Phelps,Economic,M,2006,74,USA,North America,USA,North America
Muhammad Yunus,Peace,M,2006,67,Bangladesh,Asia,Bangladesh,Asia
Grameen Bank,Peace,Org,2006,31,Bangladesh,Asia,Bangladesh,Asia
Orhan Pamuk,Literature,M,2006,55,Turkey,Europe,Turkey,Europe
Andrew Z. Fire,Physiology or Medicine,M,2006,48,USA,North America,USA,North America
Craig C. Mello,Physiology or Medicine,M,2006,47,USA,North America,USA,North America
Roger D. Kornberg,Chemistry,M,2006,60,USA,North America,USA,North America
John C. Mathe,Physics,M,2006,61,USA,North America,USA,North America
George F. Smoot,Physics,M,2006,62,USA,North America,USA,North America
Leonid Hurwicz,Economic,M,2007,91,Russia,Europe,USA,North America
Eric S. Maskin,Economic,M,2007,57,USA,North America,USA,North America
Roger B. Myerson,Economic,M,2007,57,USA,North America,USA,North America
Intergovernmental Panel on Climate Change,Peace,Org,2007,20,USA,North America,Switzerland,Europe
Albert Arnold (Al) Gore Jr.,Peace,M,2007,60,USA,North America,USA,North America
Doris Lessing,Literature,F,2007,89,Iran,Asia,United Kingdom,Europe
Mario R. Capecchi,Physiology or Medicine,M,2007,71,Italy,Europe,USA,North America
Sir Martin J. Evans,Physiology or Medicine,M,2007,67,United Kingdom,Europe,United Kingdom,Europe
Oliver Smithies,Physiology or Medicine,M,2007,83,United Kingdom,Europe,USA,North America
Gerhard Ertl,Chemistry,M,2007,72,Germany,Europe,Germany,Europe
Albert Fer,Physics,M,2007,70,France,Europe,France,Europe
Peter Grl Priz,Physics,M,2007,69,Czech,Europe,Germany,Europe
Paul Krugman,Economic,M,2008,56,USA,North America,USA,North America
Martti Ahtisaari,Peace,M,2008,73,Finland,Europe,Finland,Europe
Jean-Marie Gustave Le Clize ,Literature,M,2008,69,France,Europe,Mauritius,Africa
Francaius Prize in Liter,Physiology or Medicine,F,2008,62,France,Europe,France,Europe
Luc Montagnier,Physiology or Medicine,M,2008,77,France,Europe,France,Europe
Harald zur Hausen,Physiology or Medicine,M,2008,73,Germany,Europe,Germany,Europe
Osamu Shimomura,Chemistry,M,2008,81,Japan,Asia,USA,North America
Martin Chalfie,Chemistry,M,2008,62,USA,North America,USA,North America
Roger Y. Tsien,Chemistry,M,2008,57,USA,North America,USA,North America
Makoto Kobayashi,Physics,M,2008,65,Japan,Asia,Japan,Asia
Toshihide Maskawa,Physics,M,2008,69,Japan,Asia,Japan,Asia
Yoichiro Nambu,Physics,M,2008,87,Japan,Asia,USA,North America
Oliver E. Williamson,Economic,M,2009,78,USA,North America,USA,North America
Elinor Ostrom,Economic,F,2009,77,USA,North America,USA,North America
Barack H. Obama,Peace,M,2009,49,USA,North America,USA,North America
Herta Mmeric,Literature,F,2009,57,Romania,Europe,Germany,Europe
Elizabeth H. Blackburn,Physiology or Medicine,F,2009,62,Australia,Oceanian,USA,North America
Carol W. Greider,Physiology or Medicine,F,2009,49,USA,North America,USA,North America
Jack W. Szostak,Physiology or Medicine,M,2009,58,United Kingdom,Europe,USA,North America
Venkatraman Ramakrishnan,Chemistry,M,2009,58,India,Asia,United Kingdom,Europe
Thomas A. Steitz,Chemistry,M,2009,70,USA,North America,USA,North America
Ada E. Yonath,Chemistry,F,2009,71,Israel,Asia,Israel,Asia
Willard S. Boyle,Physics,M,2009,86,Canada,North America,USA,North America
George E. Smith,Physics,M,2009,80,USA,North America,USA,North America
Charles Kuen Kao,Physics,M,2009,77,China,Asia,China,Asia
Peter A. Diamond,Economic,M,2010,71,USA,North America,USA,North America
Dale T. Mortensen,Economic,M,2010,72,USA,North America,USA,North America
Christopher A. Pissarides,Economic,M,2010,63,Cyprus,Europe,United Kingdom,Europe
Liu Xiaobo,Peace,M,2010,56,China,Asia,China,Asia
Mario Vargas Llosa,Literature,M,2010,75,Peru,South America,Peru,South America
Robert G. Edwards,Physiology or Medicine,M,2010,86,United Kingdom,Europe,United Kingdom,Europe
Richard F. Heck,Chemistry,M,2010,80,USA,North America,Philippines,Asia
Ei-ichi Negishi,Chemistry,M,2010,76,China,Asia,USA,North America
Akira Suzuki,Chemistry,M,2010,81,Japan,Asia,Japan,Asia
Andre Geim,Physics,M,2010,53,Russia,Europe,United Kingdom,Europe
Konstantin Novoselov,Physics,M,2010,36,Russia,Europe,United Kingdom,Europe
Thomas J. Sargent,Economic,M,2011,69,USA,North America,USA,North America
Christopher A. Sims,Economic,M,2011,70,USA,North America,USA,North America
Ellen Johnson Sirleaf,Peace,F,2011,74,Liberia,Africa,Liberia,Africa
Leymah Gbowee,Peace,F,2011,40,Liberia,Africa,Liberia,Africa
Tawakkol Karman,Peace,F,2011,32,Yemen,Africa,Yemen,Africa
Tomas Transtrce P,Literature,M,2011,81,Sweden,Europe,Sweden,Europe
Ralph M. Steinman,Physiology or Medicine,M,2011,69,Canada,North America,USA,North America
Bruce A. Beutler,Physiology or Medicine,M,2011,55,USA,North America,USA,North America
Jules A. Hoffmann,Physiology or Medicine,M,2011,71,Luxembourg,Europe,France,Europe
Dan Shechtman,Chemistry,M,2011,71,Israel,Asia,Israel,Asia
Saul Perlmutter,Physics,M,2011,53,USA,North America,USA,North America
Brian P. Schmidt,Physics,M,2011,45,USA,North America,Australia,Oceanian
Adam G. Riess,Physics,M,2011,43,USA,North America,USA,North America
Alvin E. Roth,Economic,M,2012,62,USA,North America,USA,North America
Lloyd S. Shapley,Economic,M,2012,90,USA,North America,USA,North America
European Union (EU),Peace,Org,2012,61,Europe,Europe,Europe,Europe
Mo Yan,Literature,M,2012,58,China,Asia,China,Asia
Sir John B. Gurdon,Physiology or Medicine,M,2012,80,United Kingdom,Europe,United Kingdom,Europe
Shinya Yamanaka,Physiology or Medicine,M,2012,51,Japan,Asia,USA,North America
Robert J. Lefkowitz,Chemistry,M,2012,70,USA,North America,USA,North America
Brian K. Kobilka,Chemistry,M,2012,58,USA,North America,USA,North America
Serge Haroche,Physics,M,2012,69,Morocco,Africa,France,Europe
David J. Wineland,Physics,M,2012,69,USA,North America,USA,North America
Eugene F. Fama,Economic,M,2013,75,USA,North America,USA,North America
Lars Peter Hansen,Economic,M,2013,62,USA,North America,USA,North America
Robert J. Shiller,Economic,M,2013,68,USA,North America,USA,North America
Organisation for the Prohibition of Chemical Weapons,Peace,Org,2013,17,Netherlands,Europe,Netherlands,Europe
Alice Munro,Literature,F,2013,83,Canada,North America,Canada,North America
James E. Rothman,Physiology or Medicine,M,2013,64,USA,North America,USA,North America
Randy W. Schekman,Physiology or Medicine,M,2013,66,USA,North America,USA,North America
Thomas C. Scaze ,Physiology or Medicine,M,2013,59,Germany,Europe,USA,North America
Martin Karplus,Chemistry,M,2013,85,Austria,Europe,USA,North America
Michael Levitt,Chemistry,M,2013,67,South Africa,Africa,USA,North America
Arieh Warshel,Chemistry,M,2013,74,Israel,Asia,USA,North America
Franh Americaze ,Physics,M,2013,82,Belgium,Europe,Belgium,Europe
Peter W. Higgs,Physics,M,2013,85,United Kingdom,Europe,United Kingdom,Europe
Jean Tirole,Economic,M,2014,62,France,Europe,France,Europe
Kailash Satyarthi,Peace,M,2014,61,India,Asia,India,Asia
Malala Yousafzai,Peace,F,2014,18,Pakistan,Asia,United Kingdom,Europe
Patrick Modiano,Literature,M,2014,70,France,Europe,France,Europe
John Obel Pr,Physiology or Medicine,M,2014,76,USA,North America,United Kingdom,Europe
May-Britt Moser,Physiology or Medicine,F,2014,52,Norway,Europe,Norway,Europe
Edvard I. Moser,Physiology or Medicine,M,2014,53,Norway,Europe,Norway,Europe
Eric Betzig,Chemistry,M,2014,55,USA,North America,USA,North America
Stefan W. Hell,Chemistry,M,2014,53,Romania,Europe,Germany,Europe
William E. Moerner,Chemistry,M,2014,62,USA,North America,USA,North America
Isamu Akasaki,Physics,M,2014,86,Japan,Asia,Japan,Asia
Hiroshi Amano,Physics,M,2014,55,Japan,Asia,Japan,Asia
Shuji Nakamura,Physics,M,2014,61,Japan,Asia,USA,North America
Angus Deaton,Economic,M,2015,71,Scotland,Europe,USA,North America
National Dialogue Quartet,Peace,Org,2015,,,,,
Svetlana Alexievich,Literature,F,2015,68,Ukraine,Europe,Belarus,Europe
Tu Youyou,Physiology or Medicine,F,2015,86,China,Asia,China,Asia
William C. Campbell,Physiology or Medicine,M,2015,86,Ireland,Europe,USA,North America
Satoshi erica,Physiology or Medicine,M,2015,81,Japan,Asia,Japan,Asia
Tomas Lindahl,Chemistry,M,2015,78,Sweden,Europe,United Kingdom,Europe
Paul Modrich,Chemistry,M,2015,70,USA,North America,USA,North America
Aziz Sancar,Chemistry,M,2015,70,Turkey,Europe,USA,North America
Takaaki Kajita,Physics,M,2015,57,Japan,Asia,Japan,Asia
Arthur B. McDonald,Physics,M,2015,73,Canada,North America,Canada,North America
Oliver Hart,Economic,M,2016,69,United Kingdom,Europe,USA,North America
Bengt Holmstrmi,Economic,M,2016,68,Finland,Europe,USA,North America
Juan Manuel Santos,Peace,M,2016,66,Colombia,South America,Colombia,South America
Bob Dylan,Literature,M,2016,76,USA,North America,USA,North America
Yoshinori Ohsumi,Physiology or Medicine,M,2016,72,Japan,Asia,Japan,Asia
Jean-Pierre Sauvage,Chemistry,M,2016,73,France,Europe,France,Europe
Sir J. Fraser Stoddart,Chemistry,M,2016,75,United Kingdom,Europe,USA,North America
Bernard L. Feringa,Chemistry,M,2016,66,Netherlands,Europe,Netherlands,Europe
David J. Thouless,Physics,M,2016,83,United Kingdom,Europe,United Kingdom,Europe
F. Duncan M. Haldane,Physics,M,2016,66,United Kingdom,Europe,USA,North America
J. Michael Kosterlitz,Physics,M,2016,74,United Kingdom,Europe,USA,North America
Richard H. Thaler,Economic,M,2017,73,USA,North America,USA,North America
International Campaign to Abolish Nuclear Weapons,Peace,Org,2017,11,Australia,Oceanian,,
Kazuo Ishiguro,Literature,M,2017,64,Japan,Asia,Japan,Asia
Jeffrey C. Hall,Physiology or Medicine,M,2017,73,USA,North America,USA,North America
Michael Rosbash,Physiology or Medicine,M,2017,74,USA,North America,USA,North America
Michael W. Young,Physiology or Medicine,M,2017,69,USA,North America,USA,North America
Jacques Dubochet,Chemistry,M,2017,76,Switzerland,Europe,Switzerland,Europe
Joachim Frank,Chemistry,M,2017,78,Germany,Europe,USA,North America
Richard Henderson,Chemistry,M,2017,73,Scotland,Europe,United Kingdom,Europe
Rainer Weiss,Physics,M,2017,86,Germany,Europe,USA,North America
Barry C. Barish,Physics,M,2017,82,USA,North America,USA,North America
Kip S. Thorne,Physics,M,2017,78,USA,North America,USA,North America
William D. Nordhaus,Economic,M,2018,78,USA,North America,USA,North America
Paul M. Romer,Economic,M,2018,64,USA,North America,USA,North America
Denis Mukwege,Peace,M,2018,64,Congo,Africa,Congo,Africa
Nadia Murad,Peace,F,2018,26,Iraq,Asia,Iraq,Asia
Olga Tokarczuk,Literature,F,2018,57,Poland,Europe,Poland,Europe
James P. Allison,Physiology or Medicine,M,2018,71,USA,North America,USA,North America
Tasuku Honjo,Physiology or Medicine,M,2018,77,Japan,Asia,Japan,Asia
Frances H. Arnold,Chemistry,F,2018,63,USA,North America,USA,North America
George P. Smith,Chemistry,M,2018,78,USA,North America,USA,North America
Sir Gregory P. Winter,Chemistry,M,2018,68,United Kingdom,Europe,United Kingdom,Europe
Gurope Kingdo,Physics,M,2018,75,France,Europe,France,Europe
Donna Strickland,Physics,F,2018,60,Canada,North America,Canada,North America
Arthur Ashkin,Physics,M,2018,97,USA,North America,USA,North America
Abhijit Banerjee,Economic,M,2019,59,India,Asia,USA,North America
Esther Duflo,Economic,F,2019,48,France,Europe,USA,North America
Michael Kremer,Economic,M,2019,56,USA,North America,USA,North America
Abiy Ahmed Ali,Peace,M,2019,44,Ethiopian,Africa,Ethiopian,Africa
Peter Handke,Literature,M,2019,78,Austria,Europe,France,Europe
William G. Kaelin Jr,Physiology or Medicine,M,2019,63,USA,North America,USA,North America
Sir Peter J. Ratcliffe,Physiology or Medicine,M,2019,66,United Kingdom,Europe,United Kingdom,Europe
Gregg L. Semenza,Physiology or Medicine,M,2019,64,USA,North America,USA,North America
John B. Goodenough,Chemistry,M,2019,98,Germany,Europe,USA,North America
M. Stanley Whittingham,Chemistry,M,2019,79,United Kingdom,Europe,USA,North America
Akira Yoshino,Chemistry,M,2019,72,Japan,Asia,Japan,Asia
Michel Mayor,Physics,M,2019,78,Switzerland,Europe,Switzerland,Europe
Didier Queloz,Physics,M,2019,54,Switzerland,Europe,Switzerland,Europe
James Peebles,Physics,M,2019,85,Canada,North America,USA,North America
Paul R. Milgrom,Economic,M,2020,73,USA,North America,USA,North America
Robert B. Wilson,Economic,M,2020,84,USA,North America,USA,North America
World Food Programme,Peace,Org,2020,,,,,
Louise Gl Pe,Literature,F,2020,78,USA,North America,USA,North America
Harvey J. Alter,Physiology or Medicine,M,2020,86,USA,North America,USA,North America
Michael Houghton,Physiology or Medicine,M,2020,72,United Kingdom,Europe,Canada,North America
Charles M. Rice,Physiology or Medicine,M,2020,69,USA,North America,USA,North America
Emmanuelle Charpentier,Chemistry,F,2020,53,France,Europe,Germany,Europe
Jennifer A. Doudna,Chemistry,F,2020,57,USA,North America,USA,North America
Reinhard Genzel,Physics,M,2020,69,Germany,Europe,Germany,Europe
Andrea Ghez,Physics,F,2020,56,USA,North America,USA,North America
Roger Penrose,Physics,M,2020,90,United Kingdom,North America,United Kingdom,North America
